Host Star Name,Planetary Name,Planets in host system,Constellation
Kepler-1145,Kepler-1145 b,1,
Kepler-1146,Kepler-1146 b,1,
Kepler-1147,Kepler-1147 b,1,
Kepler-1148,Kepler-1148 b,1,
Kepler-1149,Kepler-1149 b,1,
Kepler-115,Kepler-115 b,2,
Kepler-115,Kepler-115 c,2,
Kepler-1150,Kepler-1150 b,1,
Kepler-1151,Kepler-1151 b,1,
Kepler-1152,Kepler-1152 b,1,
Kepler-1153,Kepler-1153 b,1,
Kepler-1154,Kepler-1154 b,2,
Kepler-1154,Kepler-1154 c,2,
Kepler-1155,Kepler-1155 b,1,
Kepler-1156,Kepler-1156 b,1,
Kepler-1157,Kepler-1157 b,1,
Kepler-1158,Kepler-1158 b,1,
Kepler-1159,Kepler-1159 b,1,
Kepler-116,Kepler-116 b,2,
Kepler-116,Kepler-116 c,2,
Kepler-1160,Kepler-1160 b,1,
Kepler-1161,Kepler-1161 b,1,
Kepler-1162,Kepler-1162 b,1,
Kepler-1163,Kepler-1163 b,1,
Kepler-1164,Kepler-1164 b,1,
Kepler-1165,Kepler-1165 b,1,
Kepler-1166,Kepler-1166 b,1,
Kepler-1167,Kepler-1167 b,1,
Kepler-1168,Kepler-1168 b,1,
Kepler-1169,Kepler-1169 b,1,
Kepler-117,Kepler-117 b,2,
Kepler-117,Kepler-117 c,2,
Kepler-1170,Kepler-1170 b,1,
Kepler-1171,Kepler-1171 b,1,
Kepler-1172,Kepler-1172 b,1,
Kepler-1173,Kepler-1173 b,1,
Kepler-1174,Kepler-1174 b,1,
Kepler-1175,Kepler-1175 b,1,
Kepler-1176,Kepler-1176 b,1,
Kepler-1177,Kepler-1177 b,1,
Kepler-1178,Kepler-1178 b,1,
Kepler-1179,Kepler-1179 b,1,
Kepler-118,Kepler-118 b,2,
Kepler-118,Kepler-118 c,2,
Kepler-1180,Kepler-1180 b,1,
Kepler-1181,Kepler-1181 b,1,
Kepler-1182,Kepler-1182 b,1,
Kepler-1183,Kepler-1183 b,1,
Kepler-1184,Kepler-1184 b,1,
Kepler-1185,Kepler-1185 b,1,
Kepler-1186,Kepler-1186 b,1,
Kepler-1187,Kepler-1187 b,1,
Kepler-1188,Kepler-1188 b,1,
Kepler-1189,Kepler-1189 b,1,
Kepler-119,Kepler-119 b,2,
Kepler-119,Kepler-119 c,2,
Kepler-1190,Kepler-1190 b,1,
Kepler-1191,Kepler-1191 b,1,
Kepler-1192,Kepler-1192 b,1,
Kepler-1193,Kepler-1193 b,1,
Kepler-1194,Kepler-1194 b,1,
Kepler-1195,Kepler-1195 b,1,
Kepler-1196,Kepler-1196 b,1,
Kepler-1197,Kepler-1197 b,1,
Kepler-1198,Kepler-1198 b,1,
Kepler-1199,Kepler-1199 b,1,
Kepler-12,Kepler-12 b,1,
Kepler-120,Kepler-120 b,2,
Kepler-120,Kepler-120 c,2,
Kepler-1200,Kepler-1200 b,1,
Kepler-1201,Kepler-1201 b,1,
Kepler-1202,Kepler-1202 b,1,
Kepler-1203,Kepler-1203 b,1,
Kepler-1204,Kepler-1204 b,1,
Kepler-1205,Kepler-1205 b,1,
Kepler-1206,Kepler-1206 b,1,
Kepler-1207,Kepler-1207 b,1,
Kepler-1208,Kepler-1208 b,1,
Kepler-1209,Kepler-1209 b,1,
Kepler-121,Kepler-121 b,2,
Kepler-121,Kepler-121 c,2,
Kepler-1210,Kepler-1210 b,1,
Kepler-1211,Kepler-1211 b,1,
Kepler-1212,Kepler-1212 b,1,
Kepler-1213,Kepler-1213 b,1,
Kepler-1214,Kepler-1214 b,1,
Kepler-1215,Kepler-1215 b,1,
Kepler-1216,Kepler-1216 b,1,
Kepler-1217,Kepler-1217 b,1,
Kepler-1218,Kepler-1218 b,1,
Kepler-1219,Kepler-1219 b,1,
Kepler-122,Kepler-122 b,5,
Kepler-122,Kepler-122 c,5,
Kepler-122,Kepler-122 d,5,
Kepler-122,Kepler-122 e,5,
Kepler-122,Kepler-122 f,5,
Kepler-1220,Kepler-1220 b,1,
Kepler-1221,Kepler-1221 b,1,
Kepler-1222,Kepler-1222 b,1,
Kepler-1223,Kepler-1223 b,1,
Kepler-1224,Kepler-1224 b,1,
Kepler-1225,Kepler-1225 b,1,
Kepler-1226,Kepler-1226 b,1,
Kepler-1227,Kepler-1227 b,1,
Kepler-1228,Kepler-1228 b,1,
Kepler-1229,Kepler-1229 b,1,
Kepler-123,Kepler-123 b,2,
Kepler-123,Kepler-123 c,2,
Kepler-1230,Kepler-1230 b,1,
Kepler-1231,Kepler-1231 b,1,
Kepler-1232,Kepler-1232 b,1,
Kepler-1233,Kepler-1233 b,1,
Kepler-1234,Kepler-1234 b,1,
Kepler-1235,Kepler-1235 b,1,
Kepler-1236,Kepler-1236 b,1,
Kepler-1237,Kepler-1237 b,1,
Kepler-1238,Kepler-1238 b,1,
Kepler-1239,Kepler-1239 b,1,
Kepler-124,Kepler-124 b,3,
Kepler-124,Kepler-124 c,3,
Kepler-124,Kepler-124 d,3,
Kepler-1240,Kepler-1240 b,1,
Kepler-1241,Kepler-1241 b,1,
Kepler-1242,Kepler-1242 b,1,
Kepler-1243,Kepler-1243 b,1,
Kepler-1244,Kepler-1244 b,1,
Kepler-1245,Kepler-1245 b,2,
Kepler-1245,Kepler-1245 c,2,
Kepler-1246,Kepler-1246 b,1,
Kepler-1247,Kepler-1247 b,1,
Kepler-1248,Kepler-1248 b,1,
Kepler-1249,Kepler-1249 b,1,
Kepler-125,Kepler-125 b,2,
Kepler-125,Kepler-125 c,2,
Kepler-1250,Kepler-1250 b,1,
Kepler-1251,Kepler-1251 b,1,
Kepler-1252,Kepler-1252 b,1,
Kepler-1253,Kepler-1253 b,1,
Kepler-1254,Kepler-1254 b,3,
Kepler-1254,Kepler-1254 c,3,
Kepler-1254,Kepler-1254 d,3,
Kepler-1255,Kepler-1255 b,1,
Kepler-1256,Kepler-1256 b,1,
Kepler-1257,Kepler-1257 b,1,
Kepler-1258,Kepler-1258 b,1,
Kepler-1259,Kepler-1259 b,1,
Kepler-126,Kepler-126 b,3,
Kepler-126,Kepler-126 c,3,
Kepler-126,Kepler-126 d,3,
Kepler-1260,Kepler-1260 b,1,
Kepler-1261,Kepler-1261 b,1,
Kepler-1262,Kepler-1262 b,1,
Kepler-1263,Kepler-1263 b,1,
Kepler-1264,Kepler-1264 b,1,
Kepler-1265,Kepler-1265 b,1,
Kepler-1266,Kepler-1266 b,1,
Kepler-1267,Kepler-1267 b,1,
Kepler-1268,Kepler-1268 b,1,
Kepler-1269,Kepler-1269 b,1,
Kepler-127,Kepler-127 b,3,
Kepler-127,Kepler-127 c,3,
Kepler-127,Kepler-127 d,3,
Kepler-1270,Kepler-1270 b,1,
Kepler-1271,Kepler-1271 b,1,
Kepler-1272,Kepler-1272 b,1,
Kepler-1273,Kepler-1273 b,1,
Kepler-1274,Kepler-1274 b,1,
Kepler-1275,Kepler-1275 b,1,
Kepler-1276,Kepler-1276 b,1,
Kepler-1277,Kepler-1277 b,1,
Kepler-1278,Kepler-1278 b,1,
Kepler-1279,Kepler-1279 b,1,
Kepler-128,Kepler-128 b,2,
Kepler-128,Kepler-128 c,2,
Kepler-1280,Kepler-1280 b,1,
Kepler-1281,Kepler-1281 b,1,
Kepler-1282,Kepler-1282 b,1,
Kepler-1283,Kepler-1283 b,1,
Kepler-1284,Kepler-1284 b,1,
Kepler-1285,Kepler-1285 b,1,
Kepler-1286,Kepler-1286 b,1,
Kepler-1287,Kepler-1287 b,1,
Kepler-1288,Kepler-1288 b,1,
Kepler-1289,Kepler-1289 b,1,
Kepler-129,Kepler-129 b,2,
Kepler-129,Kepler-129 c,2,
Kepler-1290,Kepler-1290 b,1,
Kepler-1291,Kepler-1291 b,1,
Kepler-1292,Kepler-1292 b,1,
Kepler-1293,Kepler-1293 b,1,
Kepler-1294,Kepler-1294 b,1,
Kepler-1295,Kepler-1295 b,1,
Kepler-1296,Kepler-1296 b,1,
Kepler-1297,Kepler-1297 b,1,
Kepler-1298,Kepler-1298 b,1,
Kepler-1299,Kepler-1299 b,1,
Kepler-130,Kepler-130 b,3,
Kepler-130,Kepler-130 c,3,
Kepler-130,Kepler-130 d,3,
Kepler-1300,Kepler-1300 b,1,
Kepler-1301,Kepler-1301 b,1,
Kepler-1302,Kepler-1302 b,1,
Kepler-1303,Kepler-1303 b,1,
Kepler-1304,Kepler-1304 b,1,
Kepler-1305,Kepler-1305 b,1,
Kepler-1306,Kepler-1306 b,1,
Kepler-1307,Kepler-1307 b,1,
Kepler-1308,Kepler-1308 b,1,
Kepler-1309,Kepler-1309 b,1,
Kepler-131,Kepler-131 b,2,
Kepler-131,Kepler-131 c,2,
Kepler-1310,Kepler-1310 b,1,
Kepler-1311,Kepler-1311 b,2,
Kepler-1311,Kepler-1311 c,2,
Kepler-1312,Kepler-1312 b,1,
Kepler-1313,Kepler-1313 b,1,
Kepler-1314,Kepler-1314 b,1,
Kepler-1315,Kepler-1315 b,1,
Kepler-1316,Kepler-1316 b,1,
Kepler-1317,Kepler-1317 b,1,
Kepler-1318,Kepler-1318 b,1,
Kepler-1319,Kepler-1319 b,1,
Kepler-132,Kepler-132 b,4,Lyra
Kepler-132,Kepler-132 c,4,Lyra
Kepler-132,Kepler-132 d,4,Lyra
Kepler-132,Kepler-132 e,4,Lyra
Kepler-1320,Kepler-1320 b,1,
Kepler-1321,Kepler-1321 b,2,
Kepler-1321,Kepler-1321 c,2,
Kepler-1322,Kepler-1322 b,1,
Kepler-1323,Kepler-1323 b,1,
Kepler-1324,Kepler-1324 b,1,
Kepler-1325,Kepler-1325 b,1,
Kepler-1326,Kepler-1326 b,1,
Kepler-1327,Kepler-1327 b,1,
Kepler-1328,Kepler-1328 b,1,
Kepler-1329,Kepler-1329 b,1,
Kepler-133,Kepler-133 b,2,
Kepler-133,Kepler-133 c,2,
Kepler-1330,Kepler-1330 b,1,
Kepler-1331,Kepler-1331 b,1,
Kepler-1332,Kepler-1332 b,1,
Kepler-1333,Kepler-1333 b,1,
Kepler-1334,Kepler-1334 b,1,
Kepler-1335,Kepler-1335 b,1,
Kepler-1336,Kepler-1336 b,2,
Kepler-1336,Kepler-1336 c,2,
Kepler-1337,Kepler-1337 b,1,
Kepler-1338,Kepler-1338 b,1,
Kepler-1339,Kepler-1339 b,1,
Kepler-134,Kepler-134 b,2,
Kepler-134,Kepler-134 c,2,
Kepler-1340,Kepler-1340 b,1,
Kepler-1341,Kepler-1341 b,1,
Kepler-1342,Kepler-1342 b,1,
Kepler-1343,Kepler-1343 b,1,
Kepler-1344,Kepler-1344 b,1,
Kepler-1345,Kepler-1345 b,1,
Kepler-1346,Kepler-1346 b,1,
Kepler-1347,Kepler-1347 b,1,
Kepler-1348,Kepler-1348 b,1,
Kepler-1349,Kepler-1349 b,1,
Kepler-135,Kepler-135 b,2,
Kepler-135,Kepler-135 c,2,
Kepler-1350,Kepler-1350 b,2,
Kepler-1350,Kepler-1350 c,2,
Kepler-1351,Kepler-1351 b,1,
Kepler-1352,Kepler-1352 b,1,
Kepler-1353,Kepler-1353 b,1,
Kepler-1354,Kepler-1354 b,1,
Kepler-1355,Kepler-1355 b,1,
Kepler-1356,Kepler-1356 b,1,
Kepler-1357,Kepler-1357 b,1,
Kepler-1358,Kepler-1358 b,1,
Kepler-1359,Kepler-1359 b,1,
Kepler-136,Kepler-136 b,2,
Kepler-136,Kepler-136 c,2,
Kepler-1360,Kepler-1360 b,1,
Kepler-1361,Kepler-1361 b,1,
Kepler-1362,Kepler-1362 b,1,
Kepler-1363,Kepler-1363 b,1,
Kepler-1364,Kepler-1364 b,1,
Kepler-1365,Kepler-1365 b,2,
Kepler-1365,Kepler-1365 c,2,
Kepler-1366,Kepler-1366 b,1,
Kepler-1367,Kepler-1367 b,1,
Kepler-1368,Kepler-1368 b,1,
Kepler-1369,Kepler-1369 b,1,
Kepler-137,Kepler-137 b,2,
Kepler-137,Kepler-137 c,2,
Kepler-1370,Kepler-1370 b,2,
Kepler-1370,Kepler-1370 c,2,
Kepler-1371,Kepler-1371 b,2,
Kepler-1371,Kepler-1371 c,2,
Kepler-1372,Kepler-1372 b,1,
Kepler-1373,Kepler-1373 b,1,
Kepler-1374,Kepler-1374 b,1,
Kepler-1375,Kepler-1375 b,1,
Kepler-1376,Kepler-1376 b,1,
Kepler-1377,Kepler-1377 b,1,
Kepler-1378,Kepler-1378 b,1,
Kepler-1379,Kepler-1379 b,1,
Kepler-138,Kepler-138 b,3,
Kepler-138,Kepler-138 c,3,
Kepler-138,Kepler-138 d,3,
Kepler-1380,Kepler-1380 b,1,
Kepler-1381,Kepler-1381 b,1,
Kepler-1382,Kepler-1382 b,1,
Kepler-1383,Kepler-1383 b,1,
Kepler-1384,Kepler-1384 b,1,
Kepler-1385,Kepler-1385 b,1,
Kepler-1386,Kepler-1386 b,1,
Kepler-1387,Kepler-1387 b,1,
Kepler-1388,Kepler-1388 b,4,
Kepler-1388,Kepler-1388 c,4,
Kepler-1388,Kepler-1388 d,4,
Kepler-1388,Kepler-1388 e,4,
Kepler-1389,Kepler-1389 b,1,
Kepler-139,Kepler-139 b,2,
Kepler-139,Kepler-139 c,2,
Kepler-1390,Kepler-1390 b,1,
Kepler-1391,Kepler-1391 b,1,
Kepler-1392,Kepler-1392 b,1,
Kepler-1393,Kepler-1393 b,1,
Kepler-1394,Kepler-1394 b,1,
Kepler-1395,Kepler-1395 b,1,
Kepler-1396,Kepler-1396 b,1,
Kepler-1397,Kepler-1397 b,1,
Kepler-1398,Kepler-1398 b,2,
Kepler-1398,Kepler-1398 c,2,
Kepler-1399,Kepler-1399 b,1,
Kepler-14,Kepler-14 b,1,
Kepler-140,Kepler-140 b,2,
Kepler-140,Kepler-140 c,2,
Kepler-1400,Kepler-1400 b,1,
Kepler-1401,Kepler-1401 b,1,
Kepler-1402,Kepler-1402 b,1,
Kepler-1403,Kepler-1403 b,1,
Kepler-1404,Kepler-1404 b,1,
Kepler-1405,Kepler-1405 b,1,
Kepler-1406,Kepler-1406 b,1,
Kepler-1407,Kepler-1407 b,1,
Kepler-1408,Kepler-1408 b,1,
Kepler-1409,Kepler-1409 b,1,
Kepler-141,Kepler-141 b,2,
Kepler-141,Kepler-141 c,2,
Kepler-1410,Kepler-1410 b,1,
Kepler-1411,Kepler-1411 b,1,
Kepler-1412,Kepler-1412 b,1,
Kepler-1413,Kepler-1413 b,1,
Kepler-1414,Kepler-1414 b,1,
Kepler-1415,Kepler-1415 b,1,
Kepler-1416,Kepler-1416 b,1,
Kepler-1417,Kepler-1417 b,1,
Kepler-1418,Kepler-1418 b,1,
Kepler-1419,Kepler-1419 b,1,
Kepler-142,Kepler-142 b,3,
Kepler-142,Kepler-142 c,3,
Kepler-142,Kepler-142 d,3,
Kepler-1420,Kepler-1420 b,1,
Kepler-1421,Kepler-1421 b,1,
Kepler-1422,Kepler-1422 b,1,
Kepler-1423,Kepler-1423 b,1,
Kepler-1424,Kepler-1424 b,1,
Kepler-1425,Kepler-1425 b,1,
Kepler-1426,Kepler-1426 b,1,
Kepler-1427,Kepler-1427 b,1,
Kepler-1428,Kepler-1428 b,1,
Kepler-1429,Kepler-1429 b,1,
Kepler-143,Kepler-143 b,2,
Kepler-143,Kepler-143 c,2,
Kepler-1430,Kepler-1430 b,1,
Kepler-1431,Kepler-1431 b,1,
Kepler-1432,Kepler-1432 b,1,
Kepler-1433,Kepler-1433 b,1,
Kepler-1434,Kepler-1434 b,1,
Kepler-1435,Kepler-1435 b,1,
Kepler-1436,Kepler-1436 b,1,
Kepler-1437,Kepler-1437 b,1,
Kepler-1438,Kepler-1438 b,1,
Kepler-1439,Kepler-1439 b,1,
Kepler-144,Kepler-144 b,2,
Kepler-144,Kepler-144 c,2,
Kepler-1440,Kepler-1440 b,1,
Kepler-1441,Kepler-1441 b,1,
Kepler-1442,Kepler-1442 b,1,
Kepler-1443,Kepler-1443 b,1,
Kepler-1444,Kepler-1444 b,1,
Kepler-1445,Kepler-1445 b,1,
Kepler-1446,Kepler-1446 b,1,
Kepler-1447,Kepler-1447 b,1,
Kepler-1448,Kepler-1448 b,1,
Kepler-1449,Kepler-1449 b,1,
Kepler-145,Kepler-145 b,2,
Kepler-145,Kepler-145 c,2,
Kepler-1450,Kepler-1450 b,1,
Kepler-1451,Kepler-1451 b,1,
Kepler-1452,Kepler-1452 b,1,
Kepler-1453,Kepler-1453 b,1,
Kepler-1454,Kepler-1454 b,1,
Kepler-1455,Kepler-1455 b,1,
Kepler-1456,Kepler-1456 b,1,
Kepler-1457,Kepler-1457 b,1,
Kepler-1458,Kepler-1458 b,1,
Kepler-1459,Kepler-1459 b,1,
Kepler-146,Kepler-146 b,2,
Kepler-146,Kepler-146 c,2,
Kepler-1460,Kepler-1460 b,1,
Kepler-1461,Kepler-1461 b,1,
Kepler-1462,Kepler-1462 b,1,
Kepler-1463,Kepler-1463 b,1,
Kepler-1464,Kepler-1464 b,2,
Kepler-1464,Kepler-1464 c,2,
Kepler-1465,Kepler-1465 b,1,
Kepler-1466,Kepler-1466 b,1,
Kepler-1467,Kepler-1467 b,1,
Kepler-1468,Kepler-1468 b,2,
Kepler-1468,Kepler-1468 c,2,
Kepler-1469,Kepler-1469 b,1,
Kepler-147,Kepler-147 b,2,
Kepler-147,Kepler-147 c,2,
Kepler-1470,Kepler-1470 b,1,
Kepler-1471,Kepler-1471 b,1,
Kepler-1472,Kepler-1472 b,1,
Kepler-1473,Kepler-1473 b,1,
Kepler-1474,Kepler-1474 b,1,
Kepler-1475,Kepler-1475 b,1,
Kepler-1476,Kepler-1476 b,1,
Kepler-1477,Kepler-1477 b,1,
Kepler-1478,Kepler-1478 b,1,
Kepler-1479,Kepler-1479 b,1,
Kepler-148,Kepler-148 b,3,
Kepler-148,Kepler-148 c,3,
Kepler-148,Kepler-148 d,3,
Kepler-1480,Kepler-1480 b,1,
Kepler-1481,Kepler-1481 b,1,
Kepler-1482,Kepler-1482 b,1,
Kepler-1483,Kepler-1483 b,1,
Kepler-1484,Kepler-1484 b,1,
Kepler-1485,Kepler-1485 b,1,
Kepler-1486,Kepler-1486 b,1,
Kepler-1487,Kepler-1487 b,1,
Kepler-1488,Kepler-1488 b,1,
Kepler-1489,Kepler-1489 b,1,
Kepler-149,Kepler-149 b,3,
Kepler-149,Kepler-149 c,3,
Kepler-149,Kepler-149 d,3,
Kepler-1490,Kepler-1490 b,1,
Kepler-1491,Kepler-1491 b,1,
Kepler-1492,Kepler-1492 b,1,
Kepler-1493,Kepler-1493 b,1,
Kepler-1494,Kepler-1494 b,1,
Kepler-1495,Kepler-1495 b,1,
Kepler-1496,Kepler-1496 b,1,
Kepler-1497,Kepler-1497 b,1,
Kepler-1498,Kepler-1498 b,1,
Kepler-1499,Kepler-1499 b,1,
Kepler-15,Kepler-15 b,1,
Kepler-150,Kepler-150 b,5,Lyra
Kepler-150,Kepler-150 c,5,Lyra
Kepler-150,Kepler-150 d,5,Lyra
Kepler-150,Kepler-150 e,5,Lyra
Kepler-150,Kepler-150 f,5,Lyra
Kepler-1500,Kepler-1500 b,1,
Kepler-1501,Kepler-1501 b,1,
Kepler-1502,Kepler-1502 b,1,
Kepler-1503,Kepler-1503 b,1,
Kepler-1504,Kepler-1504 b,1,
Kepler-1505,Kepler-1505 b,1,
Kepler-1506,Kepler-1506 b,1,
Kepler-1507,Kepler-1507 b,1,
Kepler-1508,Kepler-1508 b,1,
Kepler-1509,Kepler-1509 b,1,
Kepler-151,Kepler-151 b,2,
Kepler-151,Kepler-151 c,2,
Kepler-1510,Kepler-1510 b,1,
Kepler-1511,Kepler-1511 b,1,
Kepler-1512,Kepler-1512 b,1,
Kepler-1513,Kepler-1513 b,1,
Kepler-1514,Kepler-1514 b,1,
Kepler-1515,Kepler-1515 b,1,
Kepler-1516,Kepler-1516 b,1,
Kepler-1517,Kepler-1517 b,1,
Kepler-1518,Kepler-1518 b,1,
Kepler-1519,Kepler-1519 b,1,
Kepler-152,Kepler-152 b,2,
Kepler-152,Kepler-152 c,2,
Kepler-1520,Kepler-1520 b,1,
Kepler-1521,Kepler-1521 b,1,
Kepler-1522,Kepler-1522 b,1,
Kepler-1523,Kepler-1523 b,1,
Kepler-1524,Kepler-1524 b,1,
Kepler-1525,Kepler-1525 b,1,
Kepler-1526,Kepler-1526 b,1,
Kepler-1527,Kepler-1527 b,1,
Kepler-1528,Kepler-1528 b,1,
Kepler-1529,Kepler-1529 b,1,
Kepler-153,Kepler-153 b,2,
Kepler-153,Kepler-153 c,2,
Kepler-1530,Kepler-1530 b,2,
Kepler-1530,Kepler-1530 c,2,
Kepler-1531,Kepler-1531 b,1,
Kepler-1532,Kepler-1532 b,1,
Kepler-1533,Kepler-1533 b,1,
Kepler-1534,Kepler-1534 b,1,
Kepler-1535,Kepler-1535 b,1,
Kepler-1536,Kepler-1536 b,1,
Kepler-1537,Kepler-1537 b,1,
Kepler-1538,Kepler-1538 b,1,
Kepler-1539,Kepler-1539 b,1,
Kepler-154,Kepler-154 b,5,
Kepler-154,Kepler-154 c,5,
Kepler-154,Kepler-154 d,5,
Kepler-154,Kepler-154 e,5,
Kepler-154,Kepler-154 f,5,
Kepler-1540,Kepler-1540 b,1,
Kepler-1541,Kepler-1541 b,1,
Kepler-1542,Kepler-1542 b,4,Lyra
Kepler-1542,Kepler-1542 c,4,Lyra
Kepler-1542,Kepler-1542 d,4,Lyra
Kepler-1542,Kepler-1542 e,4,Lyra
Kepler-1543,Kepler-1543 b,1,
Kepler-1544,Kepler-1544 b,1,
Kepler-1545,Kepler-1545 b,1,
Kepler-1546,Kepler-1546 b,1,
Kepler-1547,Kepler-1547 b,1,
Kepler-1548,Kepler-1548 b,1,
Kepler-1549,Kepler-1549 b,1,
Kepler-155,Kepler-155 b,2,
Kepler-155,Kepler-155 c,2,
Kepler-1550,Kepler-1550 b,1,
Kepler-1551,Kepler-1551 b,1,
Kepler-1552,Kepler-1552 b,1,
Kepler-1553,Kepler-1553 b,1,
Kepler-1554,Kepler-1554 b,1,
Kepler-1555,Kepler-1555 b,1,
Kepler-1556,Kepler-1556 b,1,
Kepler-1557,Kepler-1557 b,1,
Kepler-1558,Kepler-1558 b,1,
Kepler-1559,Kepler-1559 b,1,
Kepler-156,Kepler-156 b,2,
Kepler-156,Kepler-156 c,2,
Kepler-1560,Kepler-1560 b,1,
Kepler-1561,Kepler-1561 b,1,
Kepler-1562,Kepler-1562 b,1,
Kepler-1563,Kepler-1563 b,1,
Kepler-1564,Kepler-1564 b,1,
Kepler-1565,Kepler-1565 b,1,
Kepler-1566,Kepler-1566 b,1,
Kepler-1567,Kepler-1567 b,1,
Kepler-1568,Kepler-1568 b,1,
Kepler-1569,Kepler-1569 b,1,
Kepler-157,Kepler-157 b,3,
Kepler-157,Kepler-157 c,3,
Kepler-157,Kepler-157 d,3,
Kepler-1570,Kepler-1570 b,1,
Kepler-1571,Kepler-1571 b,1,
Kepler-1572,Kepler-1572 b,1,
Kepler-1573,Kepler-1573 b,1,
Kepler-1574,Kepler-1574 b,1,
Kepler-1575,Kepler-1575 b,1,
Kepler-1576,Kepler-1576 b,1,
Kepler-1577,Kepler-1577 b,1,
Kepler-1578,Kepler-1578 b,1,
Kepler-1579,Kepler-1579 b,1,
Kepler-158,Kepler-158 b,2,
Kepler-158,Kepler-158 c,2,
Kepler-1580,Kepler-1580 b,1,
Kepler-1581,Kepler-1581 b,1,
Kepler-1582,Kepler-1582 b,1,
Kepler-1583,Kepler-1583 b,1,
Kepler-1584,Kepler-1584 b,1,
Kepler-1585,Kepler-1585 b,1,
Kepler-1586,Kepler-1586 b,1,
Kepler-1587,Kepler-1587 b,1,
Kepler-1588,Kepler-1588 b,1,
Kepler-1589,Kepler-1589 b,1,
Kepler-159,Kepler-159 b,2,
Kepler-159,Kepler-159 c,2,
Kepler-1590,Kepler-1590 b,1,
Kepler-1591,Kepler-1591 b,1,
Kepler-1592,Kepler-1592 b,1,
Kepler-1593,Kepler-1593 b,1,
Kepler-1594,Kepler-1594 b,1,
Kepler-1595,Kepler-1595 b,1,
Kepler-1596,Kepler-1596 b,1,
Kepler-1597,Kepler-1597 b,1,
Kepler-1598,Kepler-1598 b,1,
Kepler-1599,Kepler-1599 b,1,
Kepler-16,Kepler-16 b,1,
Kepler-160,Kepler-160 b,2,
Kepler-160,Kepler-160 c,2,
Kepler-1600,Kepler-1600 b,1,
Kepler-1601,Kepler-1601 b,1,
Kepler-1602,Kepler-1602 b,1,
Kepler-1603,Kepler-1603 b,1,
Kepler-1604,Kepler-1604 b,1,
Kepler-1605,Kepler-1605 b,1,
Kepler-1606,Kepler-1606 b,1,
Kepler-1607,Kepler-1607 b,1,
Kepler-1608,Kepler-1608 b,1,
Kepler-1609,Kepler-1609 b,1,
Kepler-161,Kepler-161 b,2,
Kepler-161,Kepler-161 c,2,
Kepler-1610,Kepler-1610 b,1,
Kepler-1611,Kepler-1611 b,1,
Kepler-1612,Kepler-1612 b,1,
Kepler-1613,Kepler-1613 b,1,
Kepler-1614,Kepler-1614 b,1,
Kepler-1615,Kepler-1615 b,1,
Kepler-1616,Kepler-1616 b,1,
Kepler-1617,Kepler-1617 b,1,
Kepler-1618,Kepler-1618 b,1,
Kepler-1619,Kepler-1619 b,1,
Kepler-162,Kepler-162 b,2,
Kepler-162,Kepler-162 c,2,
Kepler-1620,Kepler-1620 b,1,
Kepler-1621,Kepler-1621 b,1,
Kepler-1622,Kepler-1622 b,1,
Kepler-1623,Kepler-1623 b,1,
Kepler-1624,Kepler-1624 b,1,
Kepler-1625,Kepler-1625 b,1,
Kepler-1626,Kepler-1626 b,1,
Kepler-1627,Kepler-1627 b,1,
Kepler-1628,Kepler-1628 b,1,
Kepler-1629,Kepler-1629 b,1,
Kepler-163,Kepler-163 b,2,
Kepler-163,Kepler-163 c,2,
Kepler-1630,Kepler-1630 b,1,
Kepler-1631,Kepler-1631 b,1,
Kepler-1632,Kepler-1632 b,1,
Kepler-1633,Kepler-1633 b,1,
Kepler-1634,Kepler-1634 b,1,
Kepler-1635,Kepler-1635 b,1,
Kepler-1636,Kepler-1636 b,1,
Kepler-1637,Kepler-1637 b,1,
Kepler-1638,Kepler-1638 b,1,
Kepler-1639,Kepler-1639 b,1,
Kepler-164,Kepler-164 b,3,
Kepler-164,Kepler-164 c,3,
Kepler-164,Kepler-164 d,3,
Kepler-1640,Kepler-1640 b,1,
Kepler-1641,Kepler-1641 b,2,
Kepler-1641,Kepler-1641 c,2,
Kepler-1642,Kepler-1642 b,2,
Kepler-1642,Kepler-1642 c,2,
Kepler-1643,Kepler-1643 b,1,
Kepler-1644,Kepler-1644 b,1,
Kepler-1645,Kepler-1645 b,1,
Kepler-1646,Kepler-1646 b,1,
Kepler-1647,Kepler-1647 b,1,
Kepler-1649,Kepler-1649 b,1,
Kepler-165,Kepler-165 b,2,
Kepler-165,Kepler-165 c,2,
Kepler-1650,Kepler-1650 b,1,
Kepler-1651,Kepler-1651 b,1,
Kepler-1652,Kepler-1652 b,1,
Kepler-1653,Kepler-1653 b,1,
Kepler-1654,Kepler-1654 b,1,
Kepler-1655,Kepler-1655 b,1,
Kepler-1656,Kepler-1656 b,1,
Kepler-1658,Kepler-1658 b,1,
Kepler-166,Kepler-166 b,3,
Kepler-166,Kepler-166 c,3,
Kepler-166,Kepler-166 d,3,
Kepler-167,Kepler-167 b,4,
Kepler-167,Kepler-167 c,4,
Kepler-167,Kepler-167 d,4,
Kepler-167,Kepler-167 e,4,
Kepler-168,Kepler-168 b,2,
Kepler-168,Kepler-168 c,2,
Kepler-169,Kepler-169 b,5,
Kepler-169,Kepler-169 c,5,
Kepler-169,Kepler-169 d,5,
Kepler-169,Kepler-169 e,5,
Kepler-169,Kepler-169 f,5,
