Star,Constellation,Mass,Radius
COROT-4,Monoceros,1.098,1.154
HAT-P-9,Auriga,1.277,1.322
XO-4,Lynx,1.32,1.554
HAT-P-20,Gemini,0.76,0.69
HD 59686,Gemini,1.875,11.621
HAT-P-33,Gemini,1.403,1.777
HD 60532,Puppis,1.444,2.52
NGC 2423-3,Puppis,2.432,6.712
HD 63454,Chamaeleon,0.812,0.776
Pollux,Gemini,1.863,8.819
XO-5,Lynx,0.879,1.065
HD 63765,Carina,0.864,0.817
XO-2,Lynx,0.977,0.965
HD 65216,Carina,0.921,0.964
HD 66428,Monoceros,1.145,1.205
GJ 3483,Volans,0.616,0.007
HAT-P-35,Hydra,1.236,1.435
WASP-51,Hydra,1.199,1.277
HD 68988,Ursa Major,1.186,1.136
HD 69830,Puppis,0.856,0.895
HD 70642,Puppis,1.023,0.84
WASP-42,Lynx,1.086,1.045
HD 70573,Hydra,1.012,0.981
HD 72659,Hydra,0.953,1.433
HD 73267,Pyxis,0.893,1.043
HD 73256,Pyxis,1.236,0.897
HD 73526,Vela,1.02,1.494
HD 73534,Cancer,1.29,2.654
HAT-P-13,Ursa Major,1.22,1.561
4 Ursae Majoris,Ursa Major,1.234,16.786
Gliese 317,Pyxis,0.243,0.302
HD 74156,Hydra,1.236,1.581
WASP-64,Cancer,1.138,1.214
HD 75289,Vela,1.045,1.255
55 Cancri,Cancer,1.026,0.887
HD 75898,Lynx,1.279,1.604
HD 76700,Volans,0.999,1.326
WASP-65,Lynx,0.826,0.798
HD 79498,Cancer,1.056,1.049
WASP-13,Lynx,1.144,1.097
HD 80606,Ursa Major,0.859,0.921
HD 81040,Leo,0.958,0.952
41 Lyncis,Ursa Major,2.128,12.865
HD 82943,Hydra,1.175,1.124
HD 82886,Leo Minor,1.056,4.785
HD 83443,Vela,0.792,1.045
HD 85390,Vela,0.758,0.797
Gliese 370,Vela,0.687,0.752
WASP-19,Vela,0.947,0.928
HD 86081,Sextans,1.214,1.211
HD 86226,Hydra,1.019,1.014
HD 86264,Hydra,1.423,1.88
HIP 49067,Sextans,0.744,0.659
HD 87883,Leo Minor,0.82,0.763
HD 88133,Leo,1.204,1.934
BD+20°2457,Leo,2.415,49.492
HD 89307,Leo,1.036,1.072
WASP-43,Sextans,0.576,0.932
Gamma1 Leonis,Leo,1.226,31.88
HD 89744,Ursa Major,1.402,2.145
HD 233731,Ursa Major,0.923,1.04
24 Sextantis,Sextans,1.545,4.902
HD 90156,Hydra,0.837,0.717
WASP-54,Leo,0.831,0.666
WASP-66,Antlia,1.332,1.747
OGLE-TR-211,Carina,1.301,1.784
HD 92788,Sextans,1.064,0.992
HD 93083,Antlia,0.725,0.851
HD 93385,Vela,0.998,1.01
OGLE-TR-132,Carina,1.257,1.338
OGLE-TR-113,Carina,0.778,0.774
OGLE-TR-111,Carina,0.821,0.831
BD-10°3166,Crater,0.987,1.708
GJ 3634,Hydra,0.45,0.427
HD 95089,Leo,1.58,4.937
47 Ursae Majoris,Ursa Major,1.029,1.241
WASP-34,Crater,1.012,0.932
HD 96063,Leo,1.023,4.536
HD 96167,Crater,1.306,1.858
HD 96127,Ursa Major,0.911,34.677
HD 96700,Hydra,1.088,1.091
OGLE2-TR-L9,Carina,1.517,1.53
OGLE-TR-182,Carina,1.175,1.124
HD 97658,Leo,0.855,0.732
DP Leonis,Leo,0.688,0.136
WASP-31,Vulpecula,1.16,1.24
HD 99109,Leo,0.926,0.971
HAT-P-21,Ursa Major,0.949,1.096
83 Leonis B,Leo,0.777,0.812
HD 99706,Ursa Major,1.721,5.421
HD 100655,Leo,2.432,9.292
Gliese 433,Hydra,0.489,0.475
HD 100777,Leo,1.035,1.032
HIP 57050,Ursa Major,0.34,0.401
Gliese 436,Leo,0.411,0.419
HD 101930,Centaurus,0.741,0.895
Gliese 439,Ursa Major,0.727,0.678
HD 102117,Centaurus,0.946,1.27
HD 102195,Virgo,0.926,0.835
HD 102272,Virgo,1.886,10.076
HD 102365,Centaurus,0.85,0.971
HD 102956,Ursa Major,1.677,4.417
HD 103197,Centaurus,0.899,1.32
HD 104067,Corvus,0.789,0.813
HD 104985,Camelopardalis,1.459,8.863
WASP-36,Virgo,1.183,1.268
2M1207,Centaurus,0.025,0.148
HAT-P-38,Canes Venatici,0.886,0.923
HD 106515 A,Virgo,1.048,1.137
HD 107148,Virgo,1.118,1.257
HD 108147,Crux,1.272,1.221
HD 108863,Coma Berenices,1.847,5.559
HD 108874,Coma Berenices,0.987,1.223
HD 109246,Draco,1.008,1.018
HAT-P-36,Canes Venatici,1.022,1.096
HD 109749,Centaurus,1.188,0.835
Chi Virginis,Virgo,2.174,20.939
HW Virginis,Virgo,1.032,1.273
HD 111232,Musca,0.784,0.862
PSR B1257+12,Virgo,1.444,0.000023
Ross 458,Virgo,0.597,0.681
WASP-25,Hydra,0.995,0.947
HD 113538,Centaurus,0.698,0.65
HD 114386,Centaurus,0.746,0.76
HD 114762,Coma Berenices,0.84,1.24
HD 114783,Virgo,0.918,0.783
HD 114729,Centaurus,0.934,1.462
61 Virginis,Virgo,0.954,0.945
HD 116029,Coma Berenices,1.581,4.595
70 Virginis,Virgo,0.917,1.968
HD 117207,Centaurus,1.067,1.086
HD 117618,Centaurus,1.051,1.19
HD 118203,Ursa Major,1.226,1.294
NY Virginis,Virgo,0.619,0.414
HAT-P-3,Ursa Major,0.936,0.825
